country,government,city,customer_id
Afghanistan,Alabama,Deborahbury,2923
Afghanistan,Alaska,Sherriside,4674
Afghanistan,Arizona,Georgetown,10857
Afghanistan,Arkansas,Port Benjaminshire,5142
Afghanistan,California,Lake Joshua,3368
Afghanistan,Colorado,Port David,1341
Afghanistan,Delaware,Rossmouth,9490
Afghanistan,Florida,Martinville,9471
Afghanistan,Georgia,Lake William,10699
Afghanistan,Hawaii,Juanbury,4326
Afghanistan,Illinois,South Laura,315
Afghanistan,Indiana,East Angela,4456
Afghanistan,Indiana,Gainesberg,4552
Afghanistan,Indiana,Pearsonshire,6727
Afghanistan,Indiana,South Christopherbur,8853
Afghanistan,Indiana,West Andrew,830
Afghanistan,Iowa,Ivanchester,5850
Afghanistan,Kansas,Ashleyhaven,1160
Afghanistan,Kentucky,Port Nicole,4991
Afghanistan,Maine,Port Brenda,7373
Afghanistan,Maine,Stephanieville,2608
Afghanistan,Maryland,New Heather,1067
Afghanistan,Massachusetts,Lake Christopher,5029
Afghanistan,Massachusetts,Sharishire,6326
Afghanistan,Massachusetts,South Erik,10804
Afghanistan,Mississippi,Donside,4655
Afghanistan,Mississippi,Williamshaven,78
Afghanistan,Missouri,Cynthiaside,8910
Afghanistan,New Hampshire,West Peter,1611
Afghanistan,New Jersey,New Jessica,2296
Afghanistan,New York,North Chrisport,5883
Afghanistan,New York,Tammyburgh,3232
Afghanistan,Ohio,Jacksontown,6245
Afghanistan,Ohio,South Laurenburgh,14
Afghanistan,Oregon,North Alison,8320
Afghanistan,South Carolina,Hunterbury,3728
Afghanistan,South Carolina,New Jesuston,4046
Afghanistan,Tennessee,Port Jamesmouth,10290
Afghanistan,Texas,Gilbertfurt,10818
Afghanistan,Utah,Raymondmouth,7958
Afghanistan,Washington,North Annside,1732
Afghanistan,Wisconsin,Greenberg,1457
Afghanistan,Wyoming,Christinaberg,6023
Albania,Alabama,New Jenniferburgh,8479
Albania,Alabama,New Jorge,3111
Albania,Alaska,South Jerryburgh,5977
Albania,Arkansas,East Jillianburgh,1131
Albania,Arkansas,Whiteton,231
Albania,Colorado,Reyesborough,10871
Albania,Connecticut,Nguyenmouth,6808
Albania,Connecticut,Odonnelltown,2508
Albania,Connecticut,West Nathan,965
Albania,Florida,West Nicholas,3913
Albania,Georgia,Ruthborough,8760
Albania,Idaho,Port Jessicastad,6887
Albania,Indiana,Lake Martin,7060
Albania,Kansas,Harrellstad,7424
Albania,Kansas,West Kevinberg,6717
Albania,Louisiana,Hartfort,5357
Albania,Maine,West Alisha,10669
Albania,Michigan,Richardshire,824
Albania,Minnesota,Lake Christopher,10748
Albania,Mississippi,South Annemouth,8254
Albania,Missouri,Aliciahaven,3670
Albania,Missouri,Port Adambury,6713
Albania,Nevada,Port Alyssa,5474
Albania,New Jersey,Lake Richard,9756
Albania,New Jersey,New Nathanstad,7799
Albania,New Jersey,Pattersonhaven,622
Albania,North Carolina,Hallside,7342
Albania,North Carolina,Hawkinstown,10718
Albania,North Carolina,Jaredborough,7286
Albania,Oklahoma,Brianside,10032
Albania,Pennsylvania,Port John,463
Albania,Rhode Island,Lake Lisastad,7291
Albania,South Carolina,South Cassidymouth,4738
Albania,Tennessee,Daniellehaven,9008
Albania,Utah,New Rebeccaberg,10235
Albania,Vermont,Angelaburgh,10765
Albania,Vermont,Jacobmouth,6671
Albania,Virginia,Vanessastad,10964
Albania,Washington,Lake Lauriehaven,7926
Albania,Washington,Lake Melissa,4650
Albania,Washington,Port Evelynburgh,1400
Albania,Washington,South Elizabethville,5316
Albania,West Virginia,Port Kayla,8698
Albania,West Virginia,South Jack,2859
Albania,Wyoming,Port Christinaview,1328
Algeria,Alaska,Lake Jacquelinefort,3288
Algeria,Arkansas,Jenniferville,2736
Algeria,Arkansas,Lake Danielle,5711
Algeria,Arkansas,North Katie,2600
Algeria,Arkansas,Williamsmouth,6984
Algeria,California,Gregoryton,1788
Algeria,Connecticut,North Ashleyview,8110
Algeria,Delaware,West Wandaberg,3741
Algeria,Florida,Moraton,10284
Algeria,Idaho,West Lesliehaven,4584
Algeria,Illinois,Lake Christopher,2983
Algeria,Illinois,North Chelseamouth,1154
Algeria,Kentucky,Amandaton,9155
Algeria,Louisiana,Jamesport,3716
Algeria,Louisiana,Lowerystad,3338
Algeria,Maryland,Lake Rebecca,10266
Algeria,Maryland,North Kimberlyton,3590
Algeria,Maryland,Timothystad,8348
Algeria,Minnesota,Shannonfurt,10456
Algeria,Minnesota,Theresaton,8618
Algeria,Mississippi,New Jenniferborough,3263
Algeria,Mississippi,South Isabellaland,4900
Algeria,Mississippi,West Audrey,9128
Algeria,Mississippi,West Joshua,10184
Algeria,Montana,Catherinestad,10413
Algeria,New Jersey,Edwardsfurt,5990
Algeria,New Jersey,Jenniferborough,6730
Algeria,New Jersey,North Garyport,1201
Algeria,New Jersey,Reedfort,8522
Algeria,North Carolina,East Jeffreyport,7243
Algeria,North Dakota,Lake Tammyville,4774
Algeria,Oregon,Jenniferberg,6406
Algeria,Pennsylvania,Arthurtown,10873
Algeria,South Carolina,Barbarastad,335
Algeria,South Carolina,Lake Derek,1272
Algeria,South Dakota,Codyborough,9733
Algeria,Texas,Lake Brittanyport,8366
Algeria,Vermont,Port Charles,8089
Algeria,Washington,Brownshire,9721
Algeria,Wisconsin,New Ashlee,4459
Algeria,Wyoming,Jamesmouth,6656
Algeria,Wyoming,Port Andreamouth,4148
Algeria,Wyoming,Rodriguezstad,9005
