Transaction_id,amount,currency,Transaction_type,payment_method,payment_status,customer_id,Transaction_Date
1,4336,GBP,Refund,PayPal,Completed,3991,2020-10-16
2,4226,USD,Refund,Credit Card,Pending,4153,2024-04-20
3,1164,USD,Purchase,Debit Card,Completed,565,2022-12-30
4,880,GBP,Refund,Debit Card,Completed,6138,2023-02-24
5,2837,USD,Refund,Debit Card,Pending,86,2023-04-14
6,2994,USD,Refund,Debit Card,Completed,2039,2024-03-10
7,2941,GBP,Refund,Credit Card,Refunded,2665,2020-08-03
8,1925,GBP,Purchase,PayPal,Completed,4971,2021-11-09
9,2531,GBP,Refund,Debit Card,Completed,1133,2023-07-16
10,4202,EUR,Purchase,Credit Card,Refunded,7472,2023-03-31
11,1151,USD,Refund,PayPal,Refunded,7057,2021-02-01
12,625,GBP,Purchase,Debit Card,Pending,2348,2023-06-26
13,4602,GBP,Purchase,PayPal,Completed,559,2021-12-09
14,325,EUR,Refund,PayPal,Pending,6802,2021-08-14
15,2109,EUR,Refund,PayPal,Refunded,9165,2021-05-05
16,3780,GBP,Refund,Debit Card,Completed,2096,2024-06-30
17,4583,USD,Purchase,Credit Card,Refunded,7029,2023-03-17
18,4664,USD,Purchase,Debit Card,Pending,1713,2023-10-11
19,4656,GBP,Purchase,Credit Card,Pending,2333,2021-07-07
20,3953,USD,Purchase,Credit Card,Refunded,709,2021-02-22
21,1379,EUR,Purchase,Credit Card,Completed,9624,2022-03-21
22,1716,USD,Refund,Debit Card,Pending,521,2024-02-03
23,79,GBP,Purchase,PayPal,Pending,1245,2024-02-24
24,2369,GBP,Purchase,PayPal,Completed,8953,2021-11-06
25,4897,USD,Refund,Debit Card,Refunded,911,2021-05-22
26,4141,USD,Purchase,Debit Card,Refunded,8466,2023-10-11
27,1902,USD,Refund,Debit Card,Pending,3220,2020-07-24
28,1346,GBP,Refund,PayPal,Refunded,7406,2024-02-15
29,1069,EUR,Purchase,PayPal,Completed,6753,2022-03-23
30,3716,EUR,Purchase,Credit Card,Pending,4401,2023-09-10
31,1252,USD,Purchase,PayPal,Refunded,4084,2022-04-01
32,2315,EUR,Refund,Debit Card,Pending,5004,2022-04-22
33,1059,GBP,Refund,Debit Card,Completed,4610,2024-02-16
34,3959,EUR,Purchase,Debit Card,Refunded,9515,2023-09-22
35,1437,GBP,Refund,Credit Card,Pending,6783,2020-12-07
36,2873,GBP,Purchase,Credit Card,Pending,4123,2020-02-04
37,3717,GBP,Refund,PayPal,Refunded,1986,2024-08-24
38,2670,EUR,Refund,Debit Card,Refunded,8206,2023-09-01
39,3410,EUR,Purchase,Debit Card,Pending,863,2022-11-30
40,4103,USD,Refund,PayPal,Refunded,829,2024-08-21
41,3115,EUR,Purchase,Debit Card,Pending,6855,2023-01-10
42,200,EUR,Refund,Debit Card,Refunded,5288,2024-07-30
43,2307,USD,Refund,PayPal,Completed,548,2022-08-30
44,3604,EUR,Refund,Credit Card,Completed,10333,2022-07-26
45,2960,EUR,Purchase,PayPal,Completed,135,2023-09-13
46,2114,EUR,Refund,PayPal,Refunded,214,2024-02-03
47,3909,EUR,Purchase,PayPal,Completed,3088,2020-07-06
48,4222,GBP,Purchase,Credit Card,Refunded,8083,2023-05-07
49,1856,USD,Refund,PayPal,Refunded,4968,2020-09-28
50,3907,GBP,Purchase,Credit Card,Completed,5736,2020-06-15
51,2742,USD,Refund,Credit Card,Completed,5396,2024-01-05
52,1438,EUR,Purchase,Credit Card,Pending,6101,2024-07-10
53,2072,EUR,Refund,Debit Card,Completed,10294,2024-01-23
54,2405,USD,Purchase,Debit Card,Refunded,2850,2021-03-25
55,2022,USD,Refund,Debit Card,Pending,5573,2023-09-23
56,4309,EUR,Refund,PayPal,Pending,10648,2023-04-01
57,415,GBP,Purchase,Debit Card,Pending,20,2023-11-05
58,581,EUR,Purchase,Credit Card,Completed,8638,2021-01-27
59,3838,USD,Refund,Debit Card,Refunded,3738,2021-03-13
60,1691,USD,Purchase,Credit Card,Pending,4087,2022-10-31
61,4005,EUR,Purchase,Credit Card,Refunded,5471,2022-02-21
62,3307,EUR,Refund,PayPal,Refunded,5475,2024-07-30
63,3075,GBP,Refund,Credit Card,Pending,817,2022-10-01
64,3045,EUR,Refund,Debit Card,Completed,9884,2022-08-01
65,339,EUR,Purchase,PayPal,Pending,6508,2021-11-29
66,4526,EUR,Purchase,Credit Card,Completed,372,2021-07-18
67,1317,GBP,Refund,Debit Card,Completed,948,2022-02-07
68,3492,USD,Purchase,Credit Card,Completed,154,2021-02-08
69,2418,EUR,Refund,PayPal,Pending,10378,2020-08-02
70,2758,GBP,Refund,PayPal,Completed,1338,2024-06-13
71,4307,EUR,Purchase,PayPal,Completed,5431,2020-01-19
72,3344,EUR,Purchase,PayPal,Refunded,1351,2020-11-27
73,2562,GBP,Purchase,Debit Card,Completed,1530,2022-09-25
74,3393,EUR,Purchase,PayPal,Refunded,10876,2024-02-27
75,932,USD,Purchase,Debit Card,Refunded,4172,2023-01-06
76,2668,GBP,Refund,Debit Card,Refunded,10350,2024-08-08
77,289,USD,Refund,PayPal,Completed,10375,2024-06-19
78,2113,GBP,Purchase,Debit Card,Completed,1897,2020-03-25
79,179,EUR,Purchase,Credit Card,Completed,5752,2023-05-31
80,829,GBP,Refund,Debit Card,Pending,2641,2020-04-05
81,1213,USD,Refund,Credit Card,Pending,6883,2024-09-27
82,968,EUR,Purchase,PayPal,Completed,8456,2020-03-13
83,2645,GBP,Refund,Credit Card,Completed,4162,2023-01-19
84,316,USD,Purchase,Credit Card,Pending,7147,2021-12-26
85,2277,EUR,Refund,PayPal,Refunded,10455,2021-05-13
86,2018,GBP,Refund,PayPal,Refunded,6788,2021-12-09
87,399,EUR,Refund,PayPal,Refunded,7548,2020-01-31
88,4536,USD,Refund,PayPal,Refunded,6099,2024-03-11
89,1857,USD,Refund,PayPal,Pending,7776,2022-12-08
90,1409,GBP,Purchase,Credit Card,Pending,10217,2024-01-12
91,413,USD,Purchase,Credit Card,Pending,6866,2021-01-14
92,278,GBP,Refund,Credit Card,Refunded,6617,2020-06-07
93,348,GBP,Refund,Credit Card,Refunded,10130,2023-12-19
94,736,USD,Purchase,PayPal,Completed,3578,2023-04-28
95,2314,GBP,Refund,PayPal,Refunded,8269,2020-07-21
96,551,EUR,Refund,Debit Card,Refunded,8950,2023-02-17
97,3494,EUR,Purchase,PayPal,Refunded,3218,2020-03-01
98,1477,GBP,Refund,PayPal,Completed,1270,2022-09-15
99,2891,USD,Refund,Debit Card,Completed,1570,2022-09-08
100,3867,EUR,Purchase,PayPal,Pending,9135,2020-07-07
101,1211,EUR,Purchase,Credit Card,Refunded,4514,2022-03-28
102,3396,USD,Refund,Debit Card,Pending,9730,2022-04-03
103,4623,USD,Refund,Debit Card,Pending,10426,2022-11-01
104,3876,EUR,Refund,PayPal,Pending,10557,2020-06-18
105,4545,USD,Purchase,Debit Card,Completed,10889,2024-05-13
106,4466,GBP,Purchase,PayPal,Pending,8058,2020-01-08
107,1477,USD,Purchase,Debit Card,Pending,7337,2021-09-09
108,2281,USD,Purchase,Credit Card,Refunded,7018,2022-06-03
109,1257,EUR,Purchase,Credit Card,Completed,10205,2024-08-19
110,4223,USD,Refund,Debit Card,Pending,3441,2020-05-30
111,4384,EUR,Refund,PayPal,Completed,7853,2024-02-06
112,2400,USD,Refund,Debit Card,Pending,1043,2020-10-17
113,3490,EUR,Purchase,Credit Card,Refunded,10949,2024-01-13
114,2392,EUR,Purchase,Credit Card,Completed,418,2022-02-14
115,2673,USD,Refund,Credit Card,Pending,3756,2021-03-08
116,3734,EUR,Refund,Debit Card,Completed,2560,2020-02-20
117,14,USD,Refund,Debit Card,Refunded,4548,2024-05-08
118,3264,EUR,Purchase,PayPal,Pending,9949,2021-11-22
119,182,GBP,Refund,Debit Card,Completed,7981,2020-10-17
120,284,USD,Purchase,Debit Card,Pending,4216,2024-07-08
121,4335,GBP,Purchase,Credit Card,Refunded,5414,2023-10-21
122,329,USD,Purchase,Debit Card,Pending,4719,2022-01-14
123,905,EUR,Purchase,Credit Card,Refunded,7543,2023-04-26
124,4519,EUR,Purchase,PayPal,Refunded,7711,2022-10-07
125,3849,EUR,Purchase,Debit Card,Completed,5800,2022-12-17
126,1408,GBP,Refund,PayPal,Pending,8486,2021-09-23
127,952,EUR,Purchase,Credit Card,Refunded,187,2020-08-12
128,2113,USD,Purchase,Credit Card,Refunded,1491,2023-09-02
129,3184,EUR,Purchase,PayPal,Refunded,7563,2021-04-23
130,2160,GBP,Refund,Credit Card,Refunded,4318,2021-06-04
131,1084,GBP,Purchase,Credit Card,Refunded,9104,2020-03-21
132,1783,USD,Refund,PayPal,Pending,1704,2021-12-28
133,1374,GBP,Purchase,PayPal,Refunded,6629,2024-07-10
134,3562,GBP,Refund,Debit Card,Completed,3488,2020-03-01
135,1624,USD,Purchase,PayPal,Completed,10030,2022-04-11
136,4171,EUR,Purchase,PayPal,Refunded,888,2023-09-16
137,2846,USD,Purchase,Debit Card,Refunded,8055,2023-04-30
138,4524,GBP,Refund,Debit Card,Completed,1012,2023-06-09
139,473,USD,Refund,PayPal,Pending,3019,2023-03-09
140,3987,USD,Purchase,Credit Card,Completed,1926,2023-09-10
141,4041,EUR,Refund,Credit Card,Completed,10714,2023-05-07
142,3597,USD,Purchase,PayPal,Refunded,610,2020-03-31
143,3463,USD,Purchase,Credit Card,Refunded,3750,2022-04-11
144,3212,EUR,Purchase,PayPal,Completed,9090,2023-03-01
145,4477,EUR,Purchase,Debit Card,Pending,3365,2020-11-07
146,4754,EUR,Refund,Debit Card,Refunded,460,2022-03-09
147,4586,EUR,Purchase,PayPal,Pending,9462,2023-08-07
148,3049,USD,Purchase,Debit Card,Refunded,2283,2022-07-08
149,3083,GBP,Refund,Credit Card,Completed,5834,2020-09-08
150,1477,GBP,Refund,PayPal,Refunded,3724,2023-05-11
151,3475,EUR,Refund,PayPal,Pending,9161,2021-01-22
152,3300,GBP,Refund,Debit Card,Pending,6693,2020-01-09
153,4386,USD,Purchase,Credit Card,Pending,1649,2021-06-06
154,4561,USD,Purchase,Debit Card,Refunded,92,2023-05-05
155,1366,USD,Refund,Credit Card,Refunded,9180,2020-11-16
156,751,EUR,Refund,PayPal,Pending,4601,2021-05-07
157,712,GBP,Purchase,Debit Card,Pending,1765,2024-07-03
158,4211,USD,Refund,Debit Card,Refunded,2428,2021-01-28
159,3427,GBP,Refund,Debit Card,Refunded,2841,2021-08-15
160,1025,USD,Purchase,Credit Card,Refunded,8382,2020-10-19
161,2160,USD,Refund,Credit Card,Pending,5144,2023-04-28
