Interaction_id,interaction_type,interaction_outcome,follow_up_required,interaction_channel,follow_up_date,customer_id
1,Complaint,Unresolved,Yes,Phone,2024-10-23,3577
2,Support Request,Unresolved,No ,Phone,2024-10-29,3652
3,Feedback,Implemented,No ,Phone,2024-10-17,10592
4,Complaint,Unresolved,No ,Phone,2024-10-30,2165
5,Support Request,Unresolved,Yes,Email,2024-10-24,7358
6,Feedback,Resolved,No ,Email,2024-10-08,6941
7,Complaint,Resolved,Yes,Email,2024-10-29,5332
8,Support Request,Implemented,No ,Email,2024-10-31,1595
9,Support Request,Unresolved,Yes,Phone,2024-10-20,7055
10,Complaint,Pending,Yes,Email,2024-10-06,2164
11,Complaint,Resolved,Yes,Phone,2024-10-24,3935
12,Support Request,Unresolved,No ,Email,2024-10-29,151
13,Complaint,Implemented,No ,Chat,2024-10-18,4143
14,Complaint,Unresolved,Yes,Chat,2024-10-14,8831
15,Feedback,Implemented,Yes,Chat,2024-10-10,3306
16,Support Request,Implemented,Yes,Chat,2024-10-13,5691
17,Complaint,Resolved,Yes,Email,2024-11-01,336
18,Feedback,Pending,No ,Chat,2024-10-16,3579
19,Support Request,Unresolved,Yes,Phone,2024-10-09,6575
20,Feedback,Unresolved,No ,Email,2024-11-02,9164
21,Feedback,Resolved,Yes,Phone,2024-10-29,3520
22,Feedback,Pending,Yes,Email,2024-10-24,9017
23,Support Request,Resolved,Yes,Phone,2024-10-22,5422
24,Feedback,Unresolved,No ,Email,2024-10-15,2330
25,Support Request,Unresolved,Yes,Email,2024-10-13,6503
26,Support Request,Pending,Yes,Email,2024-10-16,8556
27,Complaint,Implemented,Yes,Phone,2024-10-31,2221
28,Support Request,Resolved,Yes,Phone,2024-10-27,9456
29,Feedback,Pending,No ,Email,2024-10-28,705
30,Complaint,Implemented,No ,Chat,2024-10-26,4083
31,Complaint,Resolved,No ,Chat,2024-10-29,5552
32,Complaint,Pending,No ,Email,2024-10-17,10933
33,Feedback,Pending,No ,Email,2024-10-31,8958
34,Support Request,Implemented,Yes,Email,2024-10-21,9454
35,Feedback,Pending,No ,Email,2024-10-23,10573
36,Complaint,Pending,No ,Email,2024-10-24,2521
37,Support Request,Unresolved,No ,Email,2024-10-07,1970
38,Feedback,Pending,Yes,Phone,2024-10-22,1289
39,Complaint,Resolved,Yes,Email,2024-10-20,7158
40,Support Request,Pending,Yes,Phone,2024-11-01,697
41,Feedback,Pending,Yes,Email,2024-10-29,5499
42,Feedback,Resolved,Yes,Phone,2024-10-12,2456
43,Feedback,Unresolved,No ,Phone,2024-10-30,7523
44,Support Request,Resolved,No ,Email,2024-10-11,7554
45,Support Request,Pending,Yes,Phone,2024-10-16,9319
46,Complaint,Resolved,No ,Chat,2024-10-07,2333
47,Feedback,Pending,No ,Phone,2024-10-06,10190
48,Support Request,Resolved,No ,Email,2024-10-26,9950
49,Complaint,Pending,Yes,Chat,2024-11-02,8164
50,Support Request,Pending,No ,Chat,2024-10-21,5457
51,Complaint,Pending,No ,Email,2024-10-08,9933
52,Complaint,Unresolved,Yes,Phone,2024-10-21,6614
53,Complaint,Pending,Yes,Email,2024-10-17,6083
54,Complaint,Resolved,Yes,Email,2024-10-25,593
55,Support Request,Unresolved,Yes,Chat,2024-10-25,4862
56,Feedback,Resolved,Yes,Chat,2024-10-10,4021
57,Complaint,Pending,Yes,Chat,2024-10-30,2818
58,Feedback,Pending,Yes,Phone,2024-10-26,9550
59,Complaint,Pending,Yes,Phone,2024-10-18,724
60,Complaint,Unresolved,Yes,Email,2024-10-06,9201
61,Feedback,Pending,No ,Chat,2024-10-04,7329
62,Feedback,Resolved,Yes,Chat,2024-10-21,6619
63,Support Request,Unresolved,No ,Email,2024-10-05,5137
64,Complaint,Pending,Yes,Phone,2024-10-28,6386
65,Support Request,Implemented,Yes,Chat,2024-10-19,10712
66,Support Request,Unresolved,Yes,Email,2024-10-27,3755
67,Complaint,Implemented,No ,Chat,2024-10-16,9924
68,Support Request,Resolved,Yes,Chat,2024-10-12,10921
69,Feedback,Pending,Yes,Chat,2024-10-05,7433
70,Support Request,Resolved,Yes,Phone,2024-10-15,6488
71,Support Request,Unresolved,No ,Email,2024-10-13,5657
72,Feedback,Resolved,No ,Chat,2024-10-16,3576
73,Complaint,Pending,Yes,Email,2024-10-24,3271
74,Complaint,Implemented,No ,Phone,2024-10-19,2386
75,Feedback,Resolved,Yes,Chat,2024-10-12,4819
76,Support Request,Pending,No ,Chat,2024-10-14,3601
77,Feedback,Implemented,Yes,Chat,2024-10-19,9803
78,Feedback,Unresolved,No ,Chat,2024-10-15,1129
79,Support Request,Implemented,Yes,Phone,2024-10-05,301
80,Complaint,Implemented,Yes,Email,2024-10-22,798
81,Feedback,Pending,Yes,Email,2024-10-19,6513
82,Feedback,Unresolved,No ,Phone,2024-10-26,9024
83,Feedback,Unresolved,Yes,Email,2024-10-18,10031
84,Support Request,Resolved,No ,Phone,2024-10-04,5902
85,Complaint,Resolved,Yes,Email,2024-10-06,434
86,Support Request,Implemented,Yes,Phone,2024-10-31,4998
87,Complaint,Pending,Yes,Phone,2024-10-15,323
88,Complaint,Resolved,No ,Email,2024-10-18,1714
89,Complaint,Implemented,Yes,Email,2024-10-18,3808
90,Support Request,Unresolved,No ,Email,2024-10-20,2420
91,Support Request,Unresolved,No ,Email,2024-10-15,8083
92,Complaint,Unresolved,No ,Email,2024-10-26,5439
93,Feedback,Unresolved,No ,Chat,2024-11-01,7408
94,Feedback,Unresolved,No ,Chat,2024-10-21,5113
95,Support Request,Pending,No ,Phone,2024-10-28,6117
96,Complaint,Unresolved,Yes,Phone,2024-10-20,4277
97,Feedback,Pending,Yes,Email,2024-10-29,2085
98,Feedback,Resolved,No ,Email,2024-10-12,2401
99,Complaint,Unresolved,Yes,Chat,2024-10-25,2098
100,Feedback,Resolved,No ,Chat,2024-10-11,3975
101,Complaint,Pending,Yes,Chat,2024-10-15,7024
102,Support Request,Unresolved,No ,Email,2024-10-27,9733
103,Support Request,Implemented,Yes,Phone,2024-10-20,3554
104,Complaint,Pending,No ,Phone,2024-10-26,3911
105,Support Request,Unresolved,No ,Phone,2024-10-25,7595
106,Feedback,Resolved,No ,Phone,2024-10-28,3595
107,Feedback,Resolved,Yes,Email,2024-10-21,4140
108,Support Request,Resolved,No ,Phone,2024-11-02,9689
109,Complaint,Pending,Yes,Email,2024-10-28,8458
110,Support Request,Pending,No ,Chat,2024-10-26,3894
111,Feedback,Pending,Yes,Phone,2024-10-14,6087
112,Feedback,Resolved,No ,Email,2024-10-16,116
113,Feedback,Resolved,Yes,Phone,2024-10-17,6472
114,Feedback,Resolved,No ,Email,2024-10-04,3290
115,Complaint,Resolved,No ,Phone,2024-10-13,1422
116,Support Request,Resolved,No ,Email,2024-10-13,8460
117,Complaint,Implemented,No ,Email,2024-10-28,6523
118,Feedback,Pending,Yes,Chat,2024-10-27,6977
119,Support Request,Implemented,No ,Phone,2024-10-05,7136
120,Support Request,Unresolved,Yes,Email,2024-10-13,6128
121,Feedback,Unresolved,No ,Phone,2024-10-17,2790
122,Support Request,Implemented,Yes,Chat,2024-10-24,7469
123,Support Request,Pending,Yes,Email,2024-10-24,2179
124,Support Request,Unresolved,No ,Phone,2024-10-08,5142
125,Feedback,Unresolved,No ,Phone,2024-10-17,3864
126,Support Request,Implemented,No ,Phone,2024-10-08,2602
127,Support Request,Pending,Yes,Chat,2024-10-07,2369
128,Feedback,Implemented,No ,Email,2024-10-05,6924
129,Complaint,Pending,No ,Phone,2024-10-22,8924
130,Complaint,Resolved,No ,Chat,2024-10-16,157
131,Feedback,Implemented,Yes,Phone,2024-11-02,6753
132,Complaint,Implemented,Yes,Chat,2024-10-29,10891
133,Support Request,Implemented,No ,Email,2024-10-17,7360
134,Support Request,Pending,Yes,Email,2024-10-30,4480
135,Complaint,Resolved,Yes,Chat,2024-10-05,9760
136,Complaint,Resolved,Yes,Phone,2024-10-09,744
137,Feedback,Unresolved,No ,Chat,2024-10-14,3467
138,Complaint,Unresolved,Yes,Email,2024-10-24,7157
139,Feedback,Pending,Yes,Chat,2024-10-19,4802
140,Feedback,Pending,No ,Email,2024-10-18,6539
141,Complaint,Unresolved,No ,Chat,2024-11-02,6273
142,Support Request,Pending,Yes,Chat,2024-10-25,7912
143,Support Request,Unresolved,No ,Phone,2024-10-04,7691
144,Complaint,Resolved,No ,Chat,2024-10-24,8653
145,Feedback,Unresolved,No ,Phone,2024-10-25,7500
146,Complaint,Pending,No ,Chat,2024-10-12,5136
147,Feedback,Implemented,Yes,Chat,2024-10-27,6747
148,Support Request,Pending,Yes,Chat,2024-10-14,10152
149,Complaint,Unresolved,No ,Chat,2024-10-17,7697
150,Support Request,Resolved,Yes,Chat,2024-10-10,9068
151,Feedback,Unresolved,No ,Phone,2024-10-20,9345
152,Support Request,Resolved,Yes,Email,2024-10-13,178
153,Feedback,Pending,No ,Chat,2024-10-04,10945
154,Complaint,Implemented,No ,Email,2024-11-02,10930
155,Support Request,Unresolved,Yes,Email,2024-10-24,8345
156,Feedback,Resolved,No ,Chat,2024-10-05,197
157,Complaint,Resolved,Yes,Email,2024-10-13,3584
158,Complaint,Pending,Yes,Email,2024-10-30,7176
159,Complaint,Resolved,No ,Phone,2024-10-04,8915
160,Support Request,Pending,No ,Phone,2024-10-27,4157
161,Support Request,Resolved,Yes,Chat,2024-10-15,3898
162,Feedback,Unresolved,Yes,Chat,2024-10-23,2029
163,Support Request,Unresolved,Yes,Chat,2024-10-24,10452
164,Feedback,Unresolved,No ,Phone,2024-10-15,2342
165,Support Request,Pending,Yes,Email,2024-10-31,7215
166,Complaint,Resolved,Yes,Email,2024-10-29,2258
167,Support Request,Pending,Yes,Email,2024-10-20,1168
168,Feedback,Unresolved,No ,Phone,2024-10-23,172
169,Complaint,Pending,No ,Phone,2024-10-29,2519
170,Complaint,Pending,Yes,Phone,2024-10-28,10167
171,Feedback,Implemented,Yes,Chat,2024-10-04,1466
172,Feedback,Resolved,Yes,Phone,2024-10-12,8164
173,Feedback,Implemented,No ,Email,2024-10-31,3342
174,Feedback,Unresolved,No ,Email,2024-10-21,912
175,Feedback,Unresolved,Yes,Chat,2024-11-01,10029
176,Complaint,Implemented,No ,Chat,2024-10-31,9263
177,Support Request,Resolved,Yes,Chat,2024-10-08,8333
178,Support Request,Unresolved,No ,Email,2024-10-14,6893
179,Complaint,Implemented,Yes,Email,2024-10-07,9335
180,Support Request,Resolved,No ,Email,2024-10-13,868
181,Support Request,Resolved,No ,Email,2024-11-01,480
182,Complaint,Resolved,Yes,Chat,2024-10-12,2119
183,Support Request,Unresolved,No ,Chat,2024-11-02,3160
184,Feedback,Unresolved,No ,Phone,2024-10-16,4712
185,Complaint,Pending,No ,Email,2024-10-27,8240
186,Complaint,Unresolved,No ,Email,2024-10-10,5446
187,Complaint,Pending,Yes,Phone,2024-10-17,1752
188,Support Request,Implemented,No ,Email,2024-10-18,458
189,Support Request,Unresolved,Yes,Chat,2024-10-16,2130
190,Support Request,Unresolved,No ,Chat,2024-10-06,5608
191,Feedback,Implemented,Yes,Email,2024-10-13,1739
192,Feedback,Pending,Yes,Chat,2024-10-24,10845
193,Complaint,Unresolved,No ,Chat,2024-10-30,4029
194,Support Request,Implemented,Yes,Chat,2024-10-18,3991
195,Feedback,Resolved,No ,Chat,2024-10-20,6243
196,Complaint,Unresolved,No ,Email,2024-10-11,1943
197,Support Request,Resolved,Yes,Email,2024-10-05,2171
198,Support Request,Implemented,No ,Email,2024-11-01,3687
199,Feedback,Resolved,No ,Email,2024-10-17,27
200,Feedback,Pending,No ,Phone,2024-10-23,2312
201,Feedback,Implemented,No ,Email,2024-10-30,10747
202,Support Request,Unresolved,No ,Chat,2024-10-24,9999
203,Feedback,Implemented,No ,Chat,2024-10-17,5415
204,Support Request,Pending,Yes,Email,2024-10-30,10266
205,Support Request,Pending,No ,Chat,2024-10-25,2855
206,Support Request,Resolved,Yes,Chat,2024-10-30,4992
207,Feedback,Implemented,No ,Phone,2024-10-18,3483
208,Feedback,Unresolved,Yes,Email,2024-11-01,8995
209,Feedback,Resolved,No ,Email,2024-11-02,6694
210,Support Request,Implemented,No ,Phone,2024-10-05,8938
211,Feedback,Resolved,Yes,Email,2024-11-01,5252
212,Feedback,Implemented,Yes,Email,2024-10-20,4946
213,Feedback,Unresolved,Yes,Phone,2024-10-16,6841
214,Complaint,Resolved,No ,Email,2024-10-30,1554
215,Support Request,Unresolved,Yes,Phone,2024-10-09,595
216,Support Request,Pending,Yes,Email,2024-10-28,9850
217,Support Request,Pending,No ,Chat,2024-10-28,388
218,Support Request,Implemented,No ,Phone,2024-10-15,4502
219,Support Request,Resolved,No ,Phone,2024-10-18,2519
220,Support Request,Pending,No ,Email,2024-10-31,759
221,Complaint,Unresolved,No ,Email,2024-10-27,326
222,Support Request,Implemented,Yes,Email,2024-10-15,1779
223,Complaint,Unresolved,Yes,Phone,2024-10-30,828
224,Feedback,Pending,Yes,Chat,2024-10-30,8281
225,Complaint,Implemented,Yes,Chat,2024-10-31,999
226,Support Request,Unresolved,No ,Email,2024-10-12,2382
227,Feedback,Pending,No ,Phone,2024-10-14,6390
228,Feedback,Implemented,No ,Chat,2024-10-07,8557
229,Feedback,Unresolved,No ,Chat,2024-10-04,6801
230,Complaint,Pending,No ,Email,2024-10-15,9201
231,Feedback,Unresolved,Yes,Chat,2024-10-26,4320
232,Feedback,Unresolved,No ,Phone,2024-10-15,8550
233,Feedback,Unresolved,Yes,Phone,2024-10-22,1323
234,Support Request,Unresolved,Yes,Phone,2024-10-23,525
235,Support Request,Unresolved,No ,Phone,2024-10-23,4134
236,Feedback,Unresolved,No ,Chat,2024-10-20,3653
237,Support Request,Implemented,Yes,Email,2024-10-26,380
238,Feedback,Unresolved,Yes,Phone,2024-10-23,6175
239,Feedback,Unresolved,No ,Chat,2024-10-26,10381
240,Feedback,Unresolved,Yes,Phone,2024-10-23,7871
241,Support Request,Implemented,No ,Phone,2024-10-13,9692
242,Support Request,Implemented,Yes,Email,2024-10-21,4200
243,Complaint,Implemented,No ,Email,2024-10-20,3218
244,Complaint,Resolved,No ,Chat,2024-10-12,4728
245,Support Request,Implemented,No ,Email,2024-10-17,7741
246,Support Request,Unresolved,No ,Email,2024-10-18,10223
247,Support Request,Implemented,No ,Email,2024-10-23,9682
248,Feedback,Implemented,Yes,Email,2024-11-02,8518
249,Complaint,Unresolved,No ,Email,2024-10-07,3342
250,Complaint,Resolved,No ,Email,2024-10-28,3162
251,Feedback,Pending,Yes,Email,2024-10-22,4651
252,Support Request,Implemented,No ,Phone,2024-10-24,8137
253,Feedback,Implemented,Yes,Chat,2024-10-11,1481
254,Support Request,Resolved,Yes,Chat,2024-10-30,6123
255,Complaint,Resolved,No ,Chat,2024-10-25,1942
256,Support Request,Unresolved,Yes,Email,2024-10-06,4215
257,Support Request,Implemented,Yes,Phone,2024-10-22,4414
258,Complaint,Pending,Yes,Chat,2024-10-31,2340
259,Support Request,Implemented,No ,Chat,2024-10-25,8618
260,Support Request,Pending,Yes,Chat,2024-10-26,9363
261,Complaint,Implemented,No ,Email,2024-10-28,10474
262,Feedback,Pending,No ,Phone,2024-10-10,5796
263,Complaint,Implemented,Yes,Chat,2024-10-14,4348
264,Support Request,Pending,Yes,Email,2024-10-14,9524
265,Feedback,Resolved,Yes,Phone,2024-10-04,1267
266,Feedback,Pending,No ,Chat,2024-10-17,7635
267,Support Request,Unresolved,Yes,Phone,2024-10-29,10492
268,Support Request,Unresolved,No ,Chat,2024-10-23,8934
269,Complaint,Pending,No ,Email,2024-10-06,3262
270,Feedback,Pending,No ,Email,2024-10-10,7676
271,Complaint,Unresolved,No ,Email,2024-10-25,9005
272,Complaint,Resolved,Yes,Email,2024-10-14,8380
273,Support Request,Unresolved,Yes,Email,2024-10-19,1596
274,Complaint,Implemented,No ,Email,2024-10-09,7020
275,Complaint,Unresolved,No ,Phone,2024-10-30,878
276,Support Request,Unresolved,No ,Email,2024-10-30,9867
277,Support Request,Resolved,No ,Phone,2024-10-19,5467
278,Complaint,Implemented,No ,Email,2024-10-21,4039
279,Complaint,Resolved,Yes,Chat,2024-10-19,10821
280,Feedback,Pending,Yes,Phone,2024-10-22,3157
281,Support Request,Implemented,Yes,Email,2024-10-18,8308
282,Feedback,Implemented,Yes,Email,2024-11-02,9902
283,Complaint,Pending,Yes,Chat,2024-10-20,4360
284,Complaint,Resolved,Yes,Email,2024-10-26,567
285,Support Request,Unresolved,Yes,Chat,2024-10-20,10677
286,Complaint,Implemented,Yes,Chat,2024-10-08,2376
287,Support Request,Implemented,Yes,Email,2024-10-30,6975
288,Complaint,Unresolved,No ,Chat,2024-10-31,10876
289,Support Request,Pending,No ,Email,2024-10-06,1812
290,Complaint,Resolved,Yes,Phone,2024-10-09,5675
291,Complaint,Unresolved,Yes,Chat,2024-10-09,3474
292,Complaint,Resolved,No ,Phone,2024-10-16,10697
293,Support Request,Resolved,Yes,Phone,2024-11-02,4455
294,Support Request,Implemented,No ,Email,2024-10-20,9142
295,Feedback,Unresolved,Yes,Email,2024-10-16,10012
296,Support Request,Resolved,No ,Email,2024-10-14,3069
297,Complaint,Resolved,Yes,Chat,2024-10-17,439
298,Complaint,Pending,Yes,Email,2024-10-14,13
299,Feedback,Pending,Yes,Email,2024-10-04,2013
300,Complaint,Pending,No ,Chat,2024-10-12,8090
301,Feedback,Resolved,Yes,Email,2024-10-27,6861
302,Complaint,Pending,No ,Email,2024-10-12,1445
303,Support Request,Resolved,Yes,Email,2024-10-08,539
304,Support Request,Unresolved,Yes,Email,2024-10-24,1094
305,Complaint,Implemented,Yes,Email,2024-10-23,2376
306,Complaint,Implemented,No ,Chat,2024-10-04,3893
307,Feedback,Pending,No ,Phone,2024-10-12,9923
308,Feedback,Unresolved,No ,Chat,2024-10-05,2467
309,Feedback,Implemented,No ,Phone,2024-10-13,7208
310,Support Request,Implemented,Yes,Phone,2024-10-14,3714
311,Complaint,Implemented,No ,Chat,2024-10-25,8672
312,Complaint,Pending,Yes,Phone,2024-10-21,8275
313,Complaint,Unresolved,Yes,Phone,2024-11-01,6848
314,Feedback,Unresolved,Yes,Email,2024-11-01,10745
315,Support Request,Implemented,Yes,Email,2024-10-31,8003
316,Complaint,Resolved,Yes,Phone,2024-10-08,1465
317,Support Request,Implemented,Yes,Chat,2024-10-16,1855
318,Support Request,Implemented,No ,Email,2024-10-19,5146
319,Complaint,Implemented,Yes,Email,2024-10-18,9250
320,Complaint,Pending,Yes,Email,2024-10-14,6793
321,Support Request,Unresolved,Yes,Phone,2024-11-02,10187
322,Complaint,Pending,No ,Email,2024-10-17,2469
323,Support Request,Resolved,No ,Email,2024-10-31,8306
324,Support Request,Unresolved,No ,Chat,2024-10-14,10720
325,Support Request,Implemented,No ,Phone,2024-10-23,6603
326,Complaint,Unresolved,No ,Phone,2024-10-08,9761
